20250612 112700;6051;6051.75;6051;6051;14
20250612 112800;6051.5;6051.5;6050.75;6051;11
20250612 112900;6050.75;6050.75;6049;6049.25;52
20250612 113000;6048.5;6048.75;6047.25;6048.5;45
20250612 113100;6048.5;6048.5;6045.5;6046;90
20250612 113200;6046;6048.25;6046;6048.25;35
20250612 113300;6047.75;6049.25;6047;6048.5;56
20250612 113400;6048.5;6050;6048.5;6049.5;13
20250612 113500;6048.5;6049.25;6048.25;6049;11
20250612 113600;6049.25;6049.25;6048;6049;20
20250612 113700;6048.5;6049;6047.75;6048.5;37
20250612 113800;6048.5;6048.75;6047.25;6047.25;24
20250612 113900;6046.75;6047.25;6045;6047;56
20250612 114000;6047.5;6047.5;6046.75;6046.75;10
20250612 114100;6047;6048.25;6047;6048;20
20250612 114200;6049;6049.5;6048.75;6049;9
20250612 114300;6049;6049.25;6048.75;6049;7
20250612 114400;6049.5;6049.75;6049.25;6049.25;14
20250612 114500;6049.5;6050.5;6049.5;6050.25;19
20250612 114600;6050.25;6051;6050;6051;36
20250612 114700;6051.25;6051.5;6050.75;6051;22
20250612 114800;6051;6051.25;6049.75;6049.75;12
20250612 114900;6049.5;6050.25;6048.75;6050.25;19
20250612 115000;6050;6051.25;6050;6050.5;13
20250612 115100;6050.75;6051.25;6049.75;6049.75;26
20250612 115200;6049.5;6050.75;6046.5;6046.5;74
20250612 115300;6046.25;6046.25;6045;6045.75;42
20250612 115400;6045.5;6046.75;6044.75;6044.75;59
20250612 115500;6045.5;6046;6045;6046;20
20250612 115600;6046;6046;6045.75;6045.75;30
20250612 115700;6045.75;6045.75;6043;6043.75;77
20250612 115800;6043.5;6043.75;6043;6043.75;27
20250612 115900;6043.75;6044.5;6043;6044;27
20250612 120000;6043.75;6044.75;6043;6044.75;27
20250612 120100;6044;6045.5;6044;6045;37
20250612 120200;6045.25;6046.25;6045;6046.25;19
20250612 120300;6045.75;6046.25;6045;6045.5;28
20250612 120400;6045.75;6046.75;6045.75;6046.75;18
20250612 120500;6046;6046.75;6045.5;6046;16
20250612 120600;6045.75;6046.5;6045.5;6046.25;27
20250612 120700;6046;6047.25;6045.75;6047.25;18
